Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,"Table 1. Life table for the total population: United States, 2009","SOURCE: CDC/NCHS, National Vital Statistics System."
83-84,0.067705,"47,676","3,228","46,062","360,308",7.6,,,
84-85,0.075068,"44,448","3,337","42,780","314,246",7.1,,,
85-86,0.08424,"41,112","3,463","39,380","271,466",6.6,,,
86-87,0.093716,"37,648","3,528","35,884","232,086",6.2,,,
87-88,0.104067,"34,120","3,551","32,345","196,201",5.8,,,
88-89,0.115332,"30,569","3,526","28,807","163,857",5.4,,,
89-90,0.127539,"27,044","3,449","25,319","135,050",5,,,
90-91,0.140709,"23,595","3,320","21,935","109,731",4.7,,,
91-92,0.154848,"20,275","3,139","18,705","87,796",4.3,,,
92-93,0.169949,"17,135","2,912","15,679","69,091",4,,,
93-94,0.185987,"14,223","2,645","12,900","53,412",3.8,,,
94-95,0.202921,"11,578","2,349","10,403","40,512",3.5,,,
95-96,0.220689,"9,228","2,037","8,210","30,109",3.3,,,
96-97,0.239209,"7,192","1,720","6,332","21,899",3,,,
97-98,0.258384,"5,471","1,414","4,765","15,567",2.8,,,
98-99,0.278095,"4,058","1,128","3,493","10,802",2.7,,,
99-100,0.298212,"2,929",874,"2,493","7,309",2.5,,,
100 and over,1,"2,056","2,056","4,816","4,816",2.3,,,
